year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1893,1,,7,90, ,0,0,0,0,0,0,1
1894,1,,4.6,30, ,0,0,0,0,1,0,1
1894,1,,5,35, ,0,0,0,0,1,0,1
1894,1,,5.8,41, ,0,0,0,0,0,0,1
1894,1,,4.2,15, ,0,0,0,0,1,0,1
1894,1,,5.4,97, ,0,0,0,0,1,0,1
1894,1,,4.1,14, ,0,0,0,0,0,0,1
1894,1,,4.4,20, ,0,0,0,0,1,0,1
1894,1,,6.1,38, ,0,0,0,0,0,0,1
1894,1,,4.4,18, ,0,0,0,0,0,0,1
1895,1,,6,48, ,0,0,0,0,1,0,1
1895,1,,5.7,33, ,0,0,0,0,0,0,1
1895,1,,4.8,28, ,0,0,0,0,1,0,1
1896,1,,4.3,27, ,0,0,0,0,1,0,1
1896,1,,5.4,74, ,0,0,0,0,1,0,1
1896,1,,6.2,70, ,0,0,0,0,1,0,1
1896,1,,7,73, ,0,0,0,0,1,0,1
1896,1,,5,19, ,0,0,0,0,1,0,1
1896,1,,6.1,173, ,0,0,0,0,0,0,1
1896,1,,7,32, ,0,0,0,0,0,0,0
1896,2,,5.3,12, ,0,0,0,0,0,0,1
1896,1,,6,69, ,0,0,0,0,1,0,1
1896,1,,5.1,24, ,0,0,0,0,1,0,1
1896,4,,2.1,5, ,0,0,0,1,0,0,1
1896,1,,3.9,6, ,0,0,1,0,0,0,1
1896,1,,5.1,5, ,0,0,0,0,0,0,1
1897,1,,4.4,34, ,0,0,0,0,1,0,1
1897,1,,4.7,25, ,0,0,1,0,0,0,1
1897,1,,4.1,15, ,0,0,0,0,1,0,1
1897,1,,4.1,16, ,0,0,0,0,1,0,1
1897,1,,3.7,15, ,0,0,0,0,1,0,1
1897,1,,4.6,15, ,0,0,0,0,1,0,0
1897,1,,5.9,26, ,0,0,0,0,0,0,0
1897,1,,4.9,62, ,0,0,0,0,1,0,1
1897,1,,5.7,97, ,0,0,1,0,0,0,1
1898,1,,4.6,27, ,0,0,1,0,0,0,1
1898,1,,3.6,6, ,0,0,0,1,0,0,1
1898,1,,6,10, ,0,0,0,0,0,0,1
1898,1,,5.5,28, ,0,0,1,0,0,0,1
1898,1,,5.5,57, ,0,0,0,0,1,0,1
1899,1,,4.1,27, ,0,0,0,0,1,0,1
1899,1,,3.9,19, ,0,0,0,0,1,0,1
1899,2,,3.6,13, ,0,0,1,0,1,0,1
1899,1,,3.9,21, ,0,0,0,0,0,0,1
1899,1,,3.6,9, ,0,0,0,0,1,0,1
1899,10,,5.3,14, ,0,0,0,0,0,0,1
1899,3,,5.6,23, ,0,0,0,1,0,0,1
1899,2,,4.1,14, ,0,0,0,1,0,0,1
1899,1,,4.4,5, ,0,0,0,0,0,0,0
1900,1,,4.9,41, ,0,0,1,0,0,0,1
1900,4,,4.2,25, ,0,0,0,1,0,0,1
1900,1,,3.4,8, ,0,0,0,0,1,0,1
1900,2,,6.3,52, ,0,1,1,0,0,0,1
1900,1,,7.2,40, ,0,0,0,0,0,0,1
1900,1,,5.8,40, ,0,0,0,1,0,0,1
1900,1,,2.6,5, ,0,0,0,0,1,0,1
1900,1,,3.1,9, ,0,0,0,0,1,0,1
1900,1,,6.3,41, ,0,0,0,0,0,0,1
1900,1,,5.2,25, ,0,0,1,0,0,0,1
1900,2,,3.9,6, ,0,0,0,0,1,0,1
1900,1,,6.1,31, ,0,0,1,0,0,0,1
1900,2,,2.9,6, ,0,0,0,0,1,0,1
1900,1,,4.5,25, ,0,0,0,0,0,0,1
1900,1,,4.5,22, ,0,0,0,0,0,0,1
1900,2,,4.8,21, ,0,0,1,0,0,0,1
1901,1,,4.4,31, ,0,0,0,0,1,0,1
1901,2,,5.7,17, ,0,0,0,0,0,0,1
1901,1,,4.3,12, ,0,0,1,0,0,0,1
1901,1,,3.3,5, ,0,0,0,0,1,0,1
1901,1,,4.3,7, ,0,0,0,0,0,0,1
1901,2,,3.4,8, ,0,0,0,0,0,0,1
1901,1,,4.1,9, ,0,0,1,0,0,0,1
1901,5,,6,29, ,0,0,0,1,0,0,1
1901,2,,6.7,36, ,0,0,0,0,1,0,1
1901,1,,3.3,5, ,0,0,0,0,0,0,1
1901,4,,4.9,21, ,0,0,0,1,0,0,1
1901,5,,6.4,39, ,0,0,0,1,0,0,1
1901,2,,4.2,13, ,1,0,0,0,1,0,1
1901,5,,5.7,29, ,0,0,0,1,0,0,0
1901,3,,4.1,5, ,0,0,0,0,1,0,1
1901,1,,5.4,5, ,0,0,1,0,0,1,1
1901,1,,3.5,12, ,0,0,0,0,0,0,1
1901,2,,5,13, ,0,0,0,0,0,0,1
1901,1,,4,13, ,0,0,1,0,0,0,1
1901,1,,4.4,14, ,0,0,0,0,1,0,1
1901,2,,6.9,27, ,0,0,1,0,0,0,1
1901,1,,3.8,9, ,0,0,0,0,1,0,1
1901,2,,3.5,6, ,0,0,0,0,1,0,1
1901,3,,3.4,8, ,0,0,0,1,0,0,1
1901,2,,5.6,33, ,0,0,0,0,0,0,1
1901,1,,4,15, ,0,0,1,0,0,0,1
1901,2,,5,10, ,0,0,1,0,0,0,1
1901,1,,5.8,18, ,0,0,1,0,1,0,1
1902,1,,4.3,15, ,0,0,0,0,0,0,1
1902,1,,3.1,7, ,0,0,0,0,1,0,1
1902,1,,3.7,7, ,0,0,0,0,1,0,1
1902,1,,4.6,12, ,0,0,0,0,0,0,1
1902,1,,5.3,39, ,0,0,1,0,0,0,1
1902,1,,3.2,7, ,0,0,0,1,0,0,1
1902,10,,5.8,33, ,0,0,0,0,0,0,1
1902,2,,5.9,46, ,0,0,1,0,0,0,1
1902,14,,8.2,1262, ,0,0,0,0,0,0,1
1903,8,,5.7,33, ,0,0,0,0,0,0,1
1903,1,,4.1,9, ,0,0,0,0,0,0,1
1903,1,,4.9,11, ,0,0,0,0,0,0,1
1903,3,,4.6,17, ,0,0,0,0,1,0,1
1903,5,,4.8,5, ,0,0,1,0,0,0,1
